Date,Tweet_Count,Avg_Sentiment_Score,Positive_Count,Negative_Count,Neutral_Count,Positive_Ratio,Negative_Ratio
2021-09-30,90,0.0,0,0,90,0.0,0.0
2021-10-01,94,0.0,0,0,94,0.0,0.0
2021-10-02,116,0.0,0,0,116,0.0,0.0
2021-10-03,61,0.0,0,0,61,0.0,0.0
2021-10-04,119,0.0,0,0,119,0.0,0.0
2021-10-05,88,0.0,0,0,88,0.0,0.0
2021-10-06,78,0.0,0,0,78,0.0,0.0
2021-10-07,137,0.0,0,0,137,0.0,0.0
2021-10-08,90,0.0,0,0,90,0.0,0.0
2021-10-09,84,0.0,0,0,84,0.0,0.0
2021-10-10,65,0.0,0,0,65,0.0,0.0
2021-10-11,95,0.0,0,0,95,0.0,0.0
2021-10-12,115,0.0,0,0,115,0.0,0.0
2021-10-13,87,0.0,0,0,87,0.0,0.0
2021-10-14,107,0.0,0,0,107,0.0,0.0
2021-10-15,142,0.0,0,0,142,0.0,0.0
2021-10-16,74,0.0,0,0,74,0.0,0.0
2021-10-17,98,0.0,0,0,98,0.0,0.0
2021-10-18,148,0.0,0,0,148,0.0,0.0
2021-10-19,112,0.0,0,0,112,0.0,0.0
2021-10-20,174,0.0,0,0,174,0.0,0.0
2021-10-21,180,0.0,0,0,180,0.0,0.0
2021-10-22,167,0.0,0,0,167,0.0,0.0
2021-10-23,60,0.0,0,0,60,0.0,0.0
2021-10-24,65,0.0,0,0,65,0.0,0.0
2021-10-25,462,0.0,0,0,462,0.0,0.0
2021-10-26,238,0.0,0,0,238,0.0,0.0
2021-10-27,177,0.0,0,0,177,0.0,0.0
2021-10-28,125,0.0,0,0,125,0.0,0.0
2021-10-29,189,0.0,0,0,189,0.0,0.0
2021-10-30,95,0.0,0,0,95,0.0,0.0
2021-10-31,99,0.0,0,0,99,0.0,0.0
2021-11-01,261,0.0,0,0,261,0.0,0.0
2021-11-02,205,0.0,0,0,205,0.0,0.0
2021-11-03,130,0.0,0,0,130,0.0,0.0
2021-11-04,149,0.0,0,0,149,0.0,0.0
2021-11-05,89,0.0,0,0,89,0.0,0.0
2021-11-06,109,0.0,0,0,109,0.0,0.0
2021-11-07,145,0.0,0,0,145,0.0,0.0
2021-11-08,217,0.0,0,0,217,0.0,0.0
2021-11-09,201,0.0,0,0,201,0.0,0.0
2021-11-10,189,0.0,0,0,189,0.0,0.0
2021-11-11,151,0.0,0,0,151,0.0,0.0
2021-11-12,129,0.0,0,0,129,0.0,0.0
2021-11-13,69,0.0,0,0,69,0.0,0.0
2021-11-14,87,0.0,0,0,87,0.0,0.0
2021-11-15,151,0.0,0,0,151,0.0,0.0
2021-11-16,129,0.0,0,0,129,0.0,0.0
2021-11-17,113,0.0,0,0,113,0.0,0.0
2021-11-18,128,0.0,0,0,128,0.0,0.0
2021-11-19,123,0.0,0,0,123,0.0,0.0
2021-11-20,69,0.0,0,0,69,0.0,0.0
2021-11-21,78,0.0,0,0,78,0.0,0.0
2021-11-22,124,0.0,0,0,124,0.0,0.0
2021-11-23,126,0.0,0,0,126,0.0,0.0
2021-11-24,98,0.0,0,0,98,0.0,0.0
2021-11-25,61,0.0,0,0,61,0.0,0.0
2021-11-26,87,0.0,0,0,87,0.0,0.0
2021-11-27,47,0.0,0,0,47,0.0,0.0
2021-11-28,44,0.0,0,0,44,0.0,0.0
2021-11-29,97,0.0,0,0,97,0.0,0.0
2021-11-30,98,0.0,0,0,98,0.0,0.0
2021-12-01,115,0.0,0,0,115,0.0,0.0
2021-12-02,116,0.0,0,0,116,0.0,0.0
2021-12-03,117,0.0,0,0,117,0.0,0.0
2021-12-04,68,0.0,0,0,68,0.0,0.0
2021-12-05,69,0.0,0,0,69,0.0,0.0
2021-12-06,161,0.0,0,0,161,0.0,0.0
2021-12-07,116,0.0,0,0,116,0.0,0.0
2021-12-08,102,0.0,0,0,102,0.0,0.0
2021-12-09,107,0.0,0,0,107,0.0,0.0
2021-12-10,109,0.0,0,0,109,0.0,0.0
2021-12-11,71,0.0,0,0,71,0.0,0.0
2021-12-12,51,0.0,0,0,51,0.0,0.0
2021-12-13,132,0.0,0,0,132,0.0,0.0
2021-12-14,133,0.0,0,0,133,0.0,0.0
2021-12-15,102,0.0,0,0,102,0.0,0.0
2021-12-16,114,0.0,0,0,114,0.0,0.0
2021-12-17,113,0.0,0,0,113,0.0,0.0
2021-12-18,52,0.0,0,0,52,0.0,0.0
2021-12-19,63,0.0,0,0,63,0.0,0.0
2021-12-20,102,0.0,0,0,102,0.0,0.0
2021-12-21,102,0.0,0,0,102,0.0,0.0
2021-12-22,167,0.0,0,0,167,0.0,0.0
2021-12-23,154,0.0,0,0,154,0.0,0.0
2021-12-24,83,0.0,0,0,83,0.0,0.0
2021-12-25,55,0.0,0,0,55,0.0,0.0
2021-12-26,57,0.0,0,0,57,0.0,0.0
2021-12-27,116,0.0,0,0,116,0.0,0.0
2021-12-28,105,0.0,0,0,105,0.0,0.0
2021-12-29,167,0.0,0,0,167,0.0,0.0
2021-12-30,123,0.0,0,0,123,0.0,0.0
2021-12-31,128,0.0,0,0,128,0.0,0.0
2022-01-01,69,0.0,0,0,69,0.0,0.0
2022-01-02,199,0.0,0,0,199,0.0,0.0
2022-01-03,307,0.0,0,0,307,0.0,0.0
2022-01-04,140,0.0,0,0,140,0.0,0.0
2022-01-05,154,0.0,0,0,154,0.0,0.0
2022-01-06,117,0.0,0,0,117,0.0,0.0
2022-01-07,135,0.0,0,0,135,0.0,0.0
2022-01-08,79,0.0,0,0,79,0.0,0.0
2022-01-09,56,0.0,0,0,56,0.0,0.0
2022-01-10,150,0.0,0,0,150,0.0,0.0
2022-01-11,109,0.0,0,0,109,0.0,0.0
2022-01-12,147,0.0,0,0,147,0.0,0.0
2022-01-13,156,0.0,0,0,156,0.0,0.0
2022-01-14,163,0.0,0,0,163,0.0,0.0
2022-01-15,75,0.0,0,0,75,0.0,0.0
2022-01-16,104,0.0,0,0,104,0.0,0.0
2022-01-17,72,0.0,0,0,72,0.0,0.0
2022-01-18,99,0.0,0,0,99,0.0,0.0
2022-01-19,101,0.0,0,0,101,0.0,0.0
2022-01-20,104,0.0,0,0,104,0.0,0.0
2022-01-21,159,0.0,0,0,159,0.0,0.0
2022-01-22,75,0.0,0,0,75,0.0,0.0
2022-01-23,61,0.0,0,0,61,0.0,0.0
2022-01-24,164,0.0,0,0,164,0.0,0.0
2022-01-25,157,0.0,0,0,157,0.0,0.0
2022-01-26,314,0.0,0,0,314,0.0,0.0
2022-01-27,263,0.0,0,0,263,0.0,0.0
2022-01-28,187,0.0,0,0,187,0.0,0.0
2022-01-29,88,0.0,0,0,88,0.0,0.0
2022-01-30,76,0.0,0,0,76,0.0,0.0
2022-01-31,131,0.0,0,0,131,0.0,0.0
2022-02-01,114,0.0,0,0,114,0.0,0.0
2022-02-02,96,0.0,0,0,96,0.0,0.0
2022-02-03,100,0.0,0,0,100,0.0,0.0
2022-02-04,81,0.0,0,0,81,0.0,0.0
2022-02-05,71,0.0,0,0,71,0.0,0.0
2022-02-06,55,0.0,0,0,55,0.0,0.0
