Date,Tweet_Count,Avg_Sentiment_Score,Positive_Count,Negative_Count,Neutral_Count,Positive_Ratio,Negative_Ratio
2021-09-30,90,0.26666666666666666,36,12,42,0.4,0.13333333333333333
2021-10-01,94,0.1935483870967742,35,17,41,0.3723404255319149,0.18085106382978725
2021-10-02,116,0.6120689655172413,80,9,27,0.6896551724137931,0.07758620689655173
2021-10-03,61,0.45901639344262296,36,8,17,0.5901639344262295,0.13114754098360656
2021-10-04,119,0.31932773109243695,56,18,45,0.47058823529411764,0.15126050420168066
2021-10-05,88,0.26136363636363635,36,13,39,0.4090909090909091,0.14772727272727273
2021-10-06,78,0.07692307692307693,27,21,30,0.34615384615384615,0.2692307692307692
2021-10-07,137,0.34306569343065696,60,13,64,0.43795620437956206,0.0948905109489051
2021-10-08,90,0.2111111111111111,37,18,35,0.4111111111111111,0.2
2021-10-09,84,0.6309523809523809,58,5,21,0.6904761904761905,0.05952380952380952
2021-10-10,65,0.3076923076923077,30,10,25,0.46153846153846156,0.15384615384615385
2021-10-11,95,0.29473684210526313,43,15,37,0.45263157894736844,0.15789473684210525
2021-10-12,115,0.4260869565217391,56,7,52,0.48695652173913045,0.06086956521739131
2021-10-13,87,0.21839080459770116,34,15,38,0.39080459770114945,0.1724137931034483
2021-10-14,107,0.27102803738317754,43,14,50,0.40186915887850466,0.1308411214953271
2021-10-15,142,0.323943661971831,72,26,44,0.5070422535211268,0.18309859154929578
2021-10-16,74,0.4189189189189189,41,10,23,0.5540540540540541,0.13513513513513514
2021-10-17,98,0.3877551020408163,44,6,48,0.4489795918367347,0.061224489795918366
2021-10-18,148,0.4527027027027027,83,16,49,0.5608108108108109,0.10810810810810811
2021-10-19,112,0.23214285714285715,48,22,42,0.42857142857142855,0.19642857142857142
2021-10-20,174,0.3218390804597701,83,27,64,0.47701149425287354,0.15517241379310345
2021-10-21,180,0.42777777777777776,95,18,67,0.5277777777777778,0.1
2021-10-22,167,0.562874251497006,102,8,57,0.6107784431137725,0.04790419161676647
2021-10-23,60,0.5166666666666667,37,6,17,0.6166666666666667,0.1
2021-10-24,65,0.2923076923076923,27,8,30,0.4153846153846154,0.12307692307692308
